strongNumber,hebWord,lang,etymComplete,etymDesc,occurences,variants,morphology,heading,entrycontent,phonemes,multiarticle,occurencesorder,nextentry,preventry
68,אֶ֫בֶן,H,1129+בנה,vient de la racine H1129 dans le sens de construire,"21268,20066,8832,1996,10888,21918,5649,14926,796,10831,18425,21109,13416,3318,6033,2501,6004,5932,14875,5191,8999,2190,3470,19228,23099,9189,11527,3157,1026,8644,19634,19974,5168,14934,10697,22562,5564,22571,8813,7458,22610,9007,1926,9382,22363,2426,2671,5915,5562,5493,7072,5677,2559,22570,3154,22163,1937,5919,20743,5077,12996,798,22175,4119,2672,5595,8480,10070,5284,6312,22944,20204,3152,2439,5591,7585,1705,13081,13881,5496,4864,13533,3526,5019,8862,10677,9087,13532,6077,14764,12522,21108,12852,2203,2305,5189,5169,19960,17965,22432,5148,3346,7263,7575,7281,5589,1498,2541,10764,22712,8300,6084,16678,15019,18253,6036,23141,14590,11508,18240,5470,785,22176,7584,2303,6210,9514,13747,13809,6774,14945,6035,8863,18444,3321,8413,22125,920,806,5593,5698,6504,13164,11381,9291,8357,18448,5592,12523,11355,9998,7816,2077,5917,10464,18696,19229,2096,8061,919,18768,18922,10338,270,9290,8912,12791,17165,2304,19638,7262,9899,2311,18712,14772,3155,22895,19232,13474,4870,5918,13289,9297,6761,9024,2498,22943,13083,5170,22406,8821,5034,6505,13036,19545,4190,6003,5921,11251,13505,15020,22369,18386,5920,9781,8234,13004,14937,14664,2679,4189,8350,18157,9008,2315,2306,8814,9520,804,19521,2675,6093,14949,8861,11252,22588,2565,15053,5371,799,7666,13535,16808,5933,22422,18127,792,12754,43",,N-F,pierre(s),"1) pierre (grande ou petite)<br>  1a) à l'état naturel<br>  1b) comme matériau<br>  1c) pierres précieuses<br>  1d) outil de travail ou arme<br>  1e) poids<br>  1f) projectiles de destruction<br>  1g) objets sacrés, mémorials ...<br>  1i) (par assimilation) force, fermeté, solidité<br>  1j) (métaphorique) pétrifié de terreur, pervers, coeur dur",ʾeven,,A00188,69,67
69,אֶ֫בֶן,A,68+אבן,(araméen) correspondant à H68,"20547,20472,20462,20591,20461,20566,20902,20889",,N-F,pierre(s),"1) pierre<br>  1a) une (la) pierre, matériau pour idoles et construction",ʾeven,,A02524,70,68
70,אֹבֶן,H,68+אבן,vient du même mot que H68,"11903,1549",,N-M,siège,"1) roue, disque<br>  1a) roue de potier<br>  1b) escabeau d'accouchement",ʾōven,,A05227,71,69
71,אֲבָנָה,H,68+אבן,peut-être le féminin de H68,9578,,N_N--L,Abana,"1) fleuve Abana, en Syrie, coulant à travers Damas",ʾăvānā,,A07781,72,70
72,אֶבֶן הָעֵזֶר,H,68+אבן|5828+עזר,vient De H68 et H5828 avec article,"7215,7281,7237",,N_N--L,ében-ézer,"ében-ézer = ""pierre du secours""<br>1) pierre commémorative dressée par Samuel, pour marquer le lieu où Dieu aida Israël à mettre en déroute les Philistins, au nord de Jérusalem",ʾeven hāʿēzer,,A04539,73,71
73,אַבְנֵט,H,,dérivation incertaine,"2694,2346,2298,2333,2925,10590,3206,2931,2334",,N-M,ceinture(s),"1) gaine, ceinture<br>  1a) du souverain sacrificateur, des sacrificateurs, d'un officiel",ʾavnēṭ,,A02497,74,72
74,אֲבִינֵר,H,1+אב|5216+ניר נר ניר נר נרה,vient De H1 et H5216,"7993,7981,7988,8050,7476,8011,8018,7989,22327,8025,8007,8021,8024,8036,7998,8016,8010,8032,7592,7672,7590,8720,8023,7991,22302,8026,7984,8030,7830,7997,7990,7979,7837,7992,7987,8022,7986,7838,7996,7475,8005,8020,8027,8006,8015,8693,7975,8029,8039,8019,8008,8031,7828",,N_N-M-P,Abner,"Abner (Abiner) = ""père de la lumière""<br>1) cousin de Saïl et chef de son armée, traîtreusement tué par Joab",ʾăvīnēr,,A00685,75,73
75,אָבַס,H,,racine primaire,"18100,8785",,V,engraissé,"1) nourrir, engraisser<br>  1a) engraissé (participe)",ʾāvas,,A05228,76,74
76,אֲבַעְבֻּעֹת,H,,(duplication) vient d'une racine du sens d'éruption,"1752,1753",,N-F,pustules,"1) ampoules, furoncles (de la racine: gonfler)",ʾăvaʿbuʿōt,,A05479,77,75
77,אֶ֫בֶץ,H,,"vient d'un mot non usuel, probablement 'luire'",6343,,N_N--L,Abets,"Abets (Angl.: Ebets) = « blancheur, étain »<br>1) ville d'Issacar",ʾeveṣ,,A07782,78,76
78,אִבְצָן,H,76+אבעבועה,vient du même mot que H77,"6881,6879",,N_N-M-P,Ibtsan,"Ibtsan = ""blancheur (blanc comme l'étain)"", ""grande fatigue""<br>1) un juge de Bethléhem au temps des juges",ʾivṣān,,A05480,79,77
79,אָבַק,H,80+אבק,"racine primaire du sens flotter (comme la vapeur), vient de H80",953954,,V,lutta,"1) lutter, en venir aux prises",ʾāvaq,,A05843,80,78
80,אָבָק,H,79+אבק,vient du mot H79,"14692,10715,10280,5637,1752,13472",,N-M,poussière,1) poussière<br>  1a) sur le sol<br>  1b) nuées (figuré),ʾāvāq,,A03045,81,79
81,אֲבָקָה,H,80+אבק,féminin de H80,19701,,N-F,aromates,"1) aromates, poudres aromatiques, poudre",ʾăvāqā,,A05867,82,80
82,אָבַר,H,,racine primaire,19582,,V,vol,"1) voler, en battant des ailes",ʾāvar,,A05868,83,81
83,אֵ֫בֶר,H,82+אבר,vient de H82,"13190,10968,15984",,N-M,ailes,"1) aile<br>  1a) d'un oiseau (colombe, aigle)<br>  1b) d'un roi Babylonien (figuré)",ʾēver,,A04019,84,82
84,אֶבְרָה,H,83+אבר,féminin de H83,"19569,16172,5771,16670",,N-F,plumes,"1) aile<br>  1a) d'un oiseau (autruche, aigle, colombe)<br>  1b) de Dieu (métaphorique)",ʾevrā,,A03752,85,83
85,אַבְרָהָם,H,1+אב,contraction De H1 et d'une racine voulant peut-être dire nombreux,"601,516,1586,594,558,16888,3567,660,403,665,559,424,667,432,553,927,9295,619,458,431,522,1024,16921,485,593,574,422,708,598,525,555,671,12317,664,420,507,552,5845,5098,563,678,548,523,567,1531,1579,518,448,4731,538,22033,542,5694,640,1505,588,591,696,21476,452,6480,584,442,510,528,521,783,556,10976,13666,21480,487,15870,694,1607,5730,586,626,543,575,438,413,604,14689,444,549,551,5164,1596,497,592,651,5186,557,11399,644,21264,407,1659,561,1664,698,22791,6481,938,787,526,517,541,568,1467,21482,711,571,590,421,539,10732,505,778,22379,577,717,1039,1595,607,554,916,634,416,11192,443,524,536,519,415,579,666,4902,669,513,670,1468,9813,441,16885,506,2475,514,23030,1504,562,582,1520,2452,21475,436,498,447",,N_N-M-P,Abraham,"Abraham = ""père élevé "" ou ""père d'une multitude""<br>1) ami de Dieu et fondateur de la nation Hébreu par son alliance avec Dieu",ʾavrāhām,,A00272,86,84
86,אַבְרֵךְ,H,,probablement mot égyptien du sens de s'agenouiller,1239,,V,A genoux !,1) (sens douteux) - un cri pour annoncer le char de Joseph,ʾavrēxᵊ,,A07783,87,85
87,אַבְרָם,H,48+אבירם,contraction de H48,"331,359,293,313,360,308,333,303,327,315,403,372,304,337,363,306,373,349,326,383,356,350,21264,385,317,387,320,351,397,384,388,321,358,399,316,374,298,296,362,401,364,309,398,21475,294,324,379,323,305,300",,N_N-M-P,Abram,"Abram = ""père élevé ""<br>1) nom originel d'Abraham",ʾavrām,,A00710,88,86
88,אֹבֹת,H,178+אוב,pluriel de H178,"4351,4352,4806,4805",,N_N--L,Oboth,"Oboth = ""des outres"", ""creux"", ""esprit""<br>1) site indéterminé d'un camp des Israélites dans le désert (peut-être à l'est de la frontière de Moab)",ʾōvōt,,A03955,89,87
89,אָגֵא,H,,"dérivation incertaine, comparer avec H90",8582,,N_N-M-P,Agué,"Agué = ""fugitif"", ""dompteur de chevaux""<br>1) père d'un guerrier de David",ʾāgēʾ,,A07784,90,88
90,אֲגָג,H,,"dérivation incertaine, comparer avec H89","7509,7510,4454,7485,7486,7497",,N_N-M-P,Agag,"Agag = ""flamboyant"", ""guerrier"", ""sublime""<br>1) roi d'Amalek, épargné par Saïl mais tué par Samuel",ʾăgāg,,A03149,91,89
91,אֲגָגִי,H,90+אגג,patronyme de H90,"20359,20285,20395,20294,20357",,N_N--PG,Agaguite,1) vient d'Agag<br>2) Haman est appelé : Haman l'Agaguite,ʾăgāgī,,A03181,92,90
92,אֲגֻדָּה,H,,vient d'une racine du sens de lier,"14506,1839,7992,11309",,N-F,bouquet,"1) bande, reliure, cordes, bandes de soldats<br>  1a) bouquet d'hysope<br>  1b) voûte des cieux, reliant la terre aux cieux",ʾăguddā,,A03824,93,91
93,אֱגוֹז,H,,probablement origine Perse,19749,,N-M,noyers,"1) noix, noyers",ʾĕgōz,,A05869,94,92
94,אָגוּר,H,103+אגר,participe de H103,18528,,N_N-M-P,Agur,"Agur = ""qui rassemble, collectionneur""<br>1) fils de Jaké, l'auteur ou celui qui a collecté Proverbes 30",ʾāgūr,,A05870,95,93
95,אֲגוֹרָה,H,94+אגור,vient du même mot que H94,7193,,N-F,pièce,"1) payement, pièce, pièce de monnaie",ʾăgōrā,,A07785,96,94
96,אֵ֫גֶל,H,,vient d'une racine du sens de couler comme des gouttes,19543,,N-M,gouttes,"1) gouttes, réservoir, collecteur d'eau, magasins",ʾēgel,,A05871,97,95
97,אֶגְלַ֫יִם,H,96+אגל,double de H96,10485,,N_N--L,Eglaïm,"Eglaïm = ""double réservoir""<br>1) une ville de Moab",ʾeglayim,,A05872,98,96
98,אֲגַם,H,,vient d'une racine du sens de collecter comme de l'eau,"17007,1716,17104,10844,11012,10986,12760,10468,1705",,N-M,étang(s),"1) mare, bassin troublé<br>  1a) marais troublé ou boueux (sombre)<br>  1b) toute mare, étang<br>  1c) marais à roseaux ou jonc",ʾăgam,,A02431,99,97
99,אָגֵם,H,98+אגם,vient probablement De H98 (eau stagnante),10531,,A,attristé,1) triste comme de l'eau stagnante,ʾāgēm,,A05873,100,98
100,אַגְמֹן,H,98+אגם,vient du même mot que H98,"11308,10536,19612,19630,10360",,N-M,jonc,"1) jonc, roseau<br>  1a) corde ou ligne<br>  1b) humble, insignifiant (métaphorique)<br>2) triste, pencher la tête",ʾagmōn,,A03182,101,99
101,אַגָּן,H,5059+נגן,vient probablement de H5059,"2184,10593,19753",,N-M,bassins,"1) bol, coupe, bassin<br>  1a) bassins utilisés pour le rituel<br>  1b) courbes du corps humain (métaphorique)<br>  1c) famille d'Eliakim (métaphorique)",ʾaggān,,A04336,102,100
102,אֲגַף,H,5062+נגף,vient probablement De H5062 (idée de menaçant),"13208,13796,13814,13809,13056,13793",,N-M,troupes,"1) aile (d'une armée), bande, armée, horde",ʾăgaf,,A02919,103,101
103,אָגַר,H,,racine primaire,"5652,17937,17824",,V,amasse,"1) recueillir, rassembler, récolter",ʾāgar,,A04337,104,102
104,אִגְּרָא,A,,(araméen) origine Perse,"20868,20865,20887",,N-F,lettre,"1) lettre, missive (mot emprunté à l'araméen, utilisé dans l'AT)",ʾiggᵊrāʾ,,A04020,105,103
105,אֲגַרְטָל,H,,dérivation incertaine,20772,,N-M,bassins,"1) vaisselle, corbeille, sac de cuir, cuvette",ʾăgarṭāl,,A05874,106,104
106,אֶגְרֹף,H,1640+גרף,vient De H1640 (sens de saisir),"2096,11307",,N-M,poing,1) poing,ʾegrōf,,A05229,107,105
107,אִגֶּ֫רֶת,H,104+אגרא,vient de H104,"23030,21063,23025,21153,21061,21167,20400,21165,20397,21062",,N-F,lettre(s),"1) lettre, missive",ʾiggeret,,A02228,108,106
108,אֵד,H,181+אוד,vient du même mot que H181,"37,19485",,N-M,vapeur,"1) brume, vapeur",ʾēd,,A05732,109,107
109,אָדַב,H,,racine primaire,7190,,V,attrister,"1) attrister, affliger, chagriner<br>  1a) être la cause d'un chagrin, d'une affliction",ʾādav,,A07786,110,108
110,אַדְבְּאֵל,H,109+אדב|410+אל,vient probablement De H109 (sens de châtiment) et H410,21477672,,N_N-M-P,Abdeel,"Adbeel = ""châtié de Dieu"", ""serviteur de Dieu""<br>1) troisième fils d'Ismaël et petit-fils d'Abraham",ʾadbᵊʾēl,,A05764,111,109
111,אֲדַד,H,2301+חדד,probablement variante orthographique de H2301,,,N_N-M-P,Hadad,"Hadad = ""puissant"", ""le plus haut""<br>1) ennemi Edomite que Dieu a élevé pour punir Salomon de ses péchés",ʾădad,,A08570,112,110
112,אִדּוֹ,H,,dérivation incertaine,20965,,N_N-M-P,Iddo,"Iddo = ""opportun"", ""favori""<br>1) chef Israélite au temps d'Esdras au retour de Babylone",ʾiddō,,A05875,113,111
113,אָדוֹן,H,,vient d'une racine du sens de gouverner,"601,9714,12420,10859,6595,8353,2084,8293,9486,10383,10875,428,9267,8478,9567,9625,14956,20703,14931,1347,12410,9270,16755,14892,8652,17473,20700,7717,974,14957,9489,8161,9967,14932,18537,975,7889,8613,619,602,10587,10660,9330,909,1166,1157,9619,6669,9615,6619,7805,437,20701,8186,12322,1283,7808,7838,8671,22656,4883,1341,1330,606,9588,12116,9966,7053,947,8427,1349,7763,7841,1263,8292,7804,8267,9569,9721,460,7820,640,646,11988,2086,9715,17103,8289,8155,10195,8428,7144,8682,20416,21002,22755,2461,8268,21936,7806,2082,18463,7807,1153,7685,9570,22154,14638,10856,8678,9269,22134,9266,9049,15842,9335,10873,8464,8653,1169,8648,8659,15229,21079,8637,933,9970,7767,610,14416,10614,604,9584,8466,7789,18645,7809,9686,1332,14801,8296,7052,10225,7911,969,7793,7803,1170,7909,1368,8286,8456,8631,9273,1345,9225,4745,8283,627,9096,8655,1343,1180,4747,8459,8668,8212,14941,629,1152,17374,7842,9598,20758,7972,9658,8322,18402,9473,7810,631,1174,7950,9538,8656,8449,14940,8662,16900,9706,8457,9272,4071,8347,9616,657,648,8291,976,5205,8632,9586,15100,1358,587,2110,17632,8188,9660,10525,1158,1439,15126,1344,10855,636,4053,7893,15288,8726,8424,628,8672,8328,9475,7037,1333,9984,934,643,634,1286,1311,8156,9415,19813,7840,7895,8760,9682,7155,7528,578,8448,9608,2083,8154,8666,1446,9591,641,583,9651,22423,8190,10400,7765,8751,8046,9605,15237,9550,8455,8348,17061,8020,7839,9718,5517,9986,8294,7038,7974,8646,22422,1367,1334,7796",,N-M,seigneur(s),"1) Le Seigneur Dieu, Seigneur de toute la terre<br>2) seigneur, maître, roi, mari, prophète, gouverneur, intendant...<br>3) Seigneur des seigneurs (l'éternel)<br>4) mon Seigneur et mon Dieu",ʾādōn,,A00162,114,112
114,אַדּוֹן,H,113+אדון אדון,probablement forme intensive de H113,21228,,N_N--L,Addon,"Addon = ""puissant"", ""fort"", ""calamité ""<br>1) un Israélite ?",ʾaddōn,,A05876,115,113
115,אֲדוֹרַ֫יִם,H,142+אדר,double De H142 (dans le sens d'éminence),22620,,N_N--L,Adoraïm,"Adoraïm = ""double gloire"", ""double demeure"", ""honneur""<br>1) ville de Juda fortifiée par Roboam, environ 8 km Sud Ouest Hébron",ʾădōrayim,,A05877,116,114
116,אֱדַ֫יִן,A,,(araméen) dérivation incertaine,"20603,20572,20880,20497,20911,20525,20489,20475,20513,20579,20587,20593,20495,20589,20597,20444,20462,20479,20577,20592,20621,20881,20506,20446,20473,20500,20588,20580,20883,20886,20890,20560,20556,20502,20551,20546,20578,20452,20613,20590,20567,20885,20585,20586,20866,20441,20599,20552,20442,20549,20897,20595,20899",,ADV,alors,"1) alors, ensuite, depuis ce temps",ʾĕdayin,,A00672,117,115
117,אַדִּיר,H,142+אדר,vient de H142,"6638,6650,16348,14709,12084,10817,1931,21324,13210,7222,10401,15313,16702,15237,13628,22873,11812,12204,12086,15035,12085,14735,15229,21079,17488",,A,puissant(s),"1) grandeur, majesté<br>  1a) des eaux de la mer<br>  1b) d'un arbre<br>  1c) des rois, des nations, des dieux",ʾaddīr,,A01238,118,116
118,אֲדַלְיָא,H,,dérivation du Perse,20379,,N_N-M-P,Adalia,"Adalia = ""ferme, déterminé ""<br>1) cinquième fils de Haman, exécuté en même temps que son père",ʾădalyāʾ,,A05878,119,117
119,אָדֹם,H,,dérivation inconnue,"2539,2555,2201,19980,10189,2699,2586,2250,14707,18351",,V,rouge(s),"1) être de couleur rouge<br>2) couleur voyante et vive, comme les péchés",ʾādōm,,A02329,120,118
120,אָדָם,H,119+אדם,vient de H119,"14770,20209,12978,13044,12831,20056,13827,20083,205,11202,19052,20071,22509,18904,4304,13768,1728,11962,12676,23091,12865,20057,10224,17620,18489,19541,11063,16354,19110,19216,19486,51,20161,19389,10575,18018,19420,10507,5448,16020,8574,2834,8117,21066,7023,16115,20646,13016,13986,4713,11227,14047,3972,13072,16713,1768,13447,4303,12296,13308,13628,108,8942,10435,18204,16506,12266,16029,20020,13521,10211,13021,12745,14584,50,145,11061,13775,4301,12685,16070,3062,212,19435,15300,15671,2494,10222,17028,15280,14428,15604,18465,15575,1753,17003,3957,20133,17151,12661,18348,13568,22077,20118,19254,13789,13189,13278,13811,16652,17912,10298,15051,16437,13270,13069,19081,8624,20178,4694,4696,3600,4063,12892,4692,14750,6968,19450,17584,20166,13540,22144,12909,12868,13556,7567,8949,13734,11272,15069,20130,19189,17306,12855,10729,12867,16893,13464,14571,10888,13706,16286,15898,2748,46,81,20192,12836,13677,80,7808,13340,15888,13825,10918,13405,13547,3219,13733,21645,13032,12790,15292,2835,13362,13941,11487,13563,10297,13758,14570,18500,12862,47,17998,17149,12234,12117,18525,13312,64,1870,12889,11713,4273,19371,12974,13944,18257,4436,18022,20126,14225,3599,13644,13260,12983,16539,13652,8793,18254,20189,17971,272,18750,15672,13843,12237,13064,76,20043,6123,13051,11065,12906,15232,13731,17608,17585,17120,183,13114,68,18236,10213,65,52,13315,49,18680,10219,15582,13443,6204,15833,11308,18932,16532,13060,17378,12927,12742,13371,11026,54,3464,14761,38,20159,1883,140,5034,5142,18280,13966,11119,12971,11872,13356,5038,12267,20223,16013,13907,20151,13106,18276,3257,12907,13654,18529,13770,13246,9104,20080,15752,16867,13434,17882,20700,12881,20129,13096,13623,3055,21064,4677,17744,18523,16987,13009,18212,16714,22497,18385,8941,20030,18103,13587,20082,14661,13762,20238,7506,13708,13249,13722,17464,13420,22508,7002,10731,12852,8112,12857,11090,10098,20120,107,14308,15433,18367,13666,13303,14795,15005,13110,16177,20053,18541,10775,20169,15746,4224,394,12722,2901,16858,18125,1765,1729,18474,7842,11568,20168,1762,3706,16644,19498,6958,12941,13952,13672,13126,14809,20175,1752,4227,13112,13528,211,4701,13606,139,16480,17735,36,1613,20160,13594,13649,11731,14249,17761,18117,20230,19416,13485,11655,14612,19943,20074,19395,18842,15325,18495,18094,4306,13268,19483,77,20061,12387,2853,12981,144,15423,13807,18464,12834,1881,20131,19946,5079,11740,13325,17108,13411,16039,12903,3467,18484,7519,12290,18913,3973,12658,13496,18486,14856,4712,16993,9636,18981,15133,12860,12303,14645,18223,13320,14273,13458,39,17133,13045,142,13612,15906,20647,12771,17828,16135,13735,10271,13553,17457,3375,1829,13284,14991,13118,22779,13334,12874,18009,19077,18364,13003,6962,12591,5768,15964,15039,9998,12301,20180,18255,27,13759,143,10770,12972,20171,10104,78,7766,11878,13531,20047,53,13019,2415,14643,20079,17539,20145,22362,22515,20702,13738,13801,20059,14671,141,13261,13087,13732,16980,4706,56,18167,13318,3468,14908,26,181,21286,3799,20177,15285,16090,20072,18193,19434,17909,20038",,N-M,Adam,"Adam ="" être humain"", ""de la terre"" Adamah: terre, sol<br>1)) homme<br>  1a) homme, être humain<br>  1b) genre humain (sens le plus fréquent de l'Ancien Testament)<br>  1c) Adam, premier homme<br>  1d) ville de la vallée du Jourdain, à côté de Tsarthan",ʾādām,,A00092,121,119
121,אָדָם,H,120+אדם,même mot que H120,"5911,21449,110,111,105,107,73,19343,109,14179",,N_N-M-P;N_N--L,Adam,"Adam = "" être humain"", ""de la terre""<br>1) premier homme<br>2) ville de la vallée du Jourdain",ʾādām,,A02378,122,120
122,אָדֹם,H,119+אדם,vient de H119,"14891,14954,11385,19732,4292,689,9517","אֱדֹם, אָדֹם",A|N-M,roux,"1) rouge, roux (homme, cheval, génisse, vêtement, eau, lentilles)",ʾādōm,m,A02840,123,121
123,אֱדוֹם,H,122+אדום,vient de H122,"21499,21491,1058,9042,13726,22099,10415,9822,14378,14523,7472,22920,9446,13721,9667,9507,17025,22830,6205,1049,6225,9825,9521,1072,10826,21502,9504,22100,22921,1073,1042,4345,4799,9041,1084,932,689,13458,4326,14385,9040,16068,1062,12071,1057,14367,8141,1050,9515,15098,16059,6849,14516,9503,9668,16067,13639,1060,6629,16514,4330,10825,4335,20746,12665,14375,8995,22831,12663,4821,17026,19995,22560,13457,12115,22098,1936,4465,17503,11717,12468,19994,14380,14512,9666,4333,13459,22829,11384,12660,12650,4332,6848",,N_N-M-P;N_N--L,édom,"édom = ""rouge"", ""de couleur rousse""<br>1) édom<br>2) édomites - descendants d'Esaï<br>3) Idumée - (Marc 3.8) territoire sud et sud-est de Palestine",ʾĕdōm,,A00419,124,122
124,אֹ֫דֶם,H,119+אדם,vient de H119,"2675,2311,13532",,N-F,sardoine,1) rubis<br>  1a) pierre précieuse,ʾōdem,,A04427,125,123
125,אֲדַמְדָּם,H,119+אדם,"duplication, vient de H119","3102,3072,3149,3077,3096,3095",,A,rougeâtre,1) rougeâtre,ʾădamdām,,A03150,126,124
126,אַדְמָה,H,127+אדמה,contraction de H127,"5704,14253,345,339,254",,N_N--L,Adma,"Adma = ""de la terre"", ""terrasses""<br>1) ville dans la vallée de Siddim",ʾadmā,,A03554,127,125
127,אֲדָמָה,H,119+אדם,vient de H119,"208,16874,11856,73,5719,13836,5450,12055,22510,10486,205,14128,9583,10046,4225,5294,5472,21282,13061,3343,13807,2164,13309,4226,21332,5570,5119,12076,5803,11867,5664,15136,5564,18491,92,13448,21330,1444,12123,13544,13451,7226,13727,2064,8976,14515,8379,7662,13213,10758,16518,10315,22460,5024,2076,197,5743,14856,9136,5624,10297,75,12083,8937,5676,14337,226,8155,9249,5728,82,8898,13771,5071,14794,17621,11087,135,13806,13666,12050,14795,483,13308,20752,5103,10178,6475,5730,22939,788,13034,23113,2523,22332,22541,10447,4037,302,50,5231,1585,19348,789,13805,145,5046,10757,13064,13295,5578,5807,2490,168,15897,22504,9151,183,1440,13773,14306,5655,12503,8281,14508,20714,1443,25,90,7942,5631,8943,9925,94,10611,14402,5750,5126,40,5219,12941,2451,14480,20744,1439,18006,11813,12150,11779,14430,91,14486,10446,13079,5016,3344,9260,12819,83,11671,139,1441,36,6477,38,8339,5243,13738,13780,1784,10789,13745,15020,5261,13838,5583,10538,5634,12122,4063,164,1447,14575,17500,12346,7678,1732,12008,11655,192,5227,10633,13688,13702,18679,5617,37,79,14916,21258,16914,13299,14405,158,15069,5709,5646,10705,10162,4731,12354",,N-F,terre(s),"1) terrain, terre, sol<br>  1a) terre (en général)<br>  1b) terrain, morceau spécifique<br>  1c) terre comme matériau de construction<br>  1d) partie visible du monde",ʾădāmā,,A00212,128,126
128,אֲדָמָה,H,127+אדמה,même mot que H127,6359,,N_N--L,Adama,"Adama = ""la terre, le sol""<br>1) ville forte de Nephtali",ʾădāmā,,A07787,129,127
129,אֲדָמִי הַנֶּ֫קֶב,H,127+אדמה,vient de H127,,,N_N--L,Adami,"Adami = ""territoire""<br>1) une passe ou un lieu fortifié en Nephthali",ʾădāmī hanneqev,,A08571,130,128
130,אֲדֹמִי,H,123+אדום אדום,patronyme de H123,"5509,7697,7714,7727,22915,15952,9043,22978,9040,7723,9027",,N_N--PG,édomite(s),1) Edomite,ʾădōmī,,A02200,131,129
131,אֲדֻמִּים,H,121+אדם,pluriel de H121,,,N_N--L,Adummim,"Adummim = ""terrains rouges""<br>1) passe ou crête de collines à l'ouest de Guilgal",ʾădummīm,,A08572,132,130
132,אַדְמוֹנִי,H,119+אדם,vient de H119,"7524,684,7577",,A,blond,"1) rouge, roux (d'Esaï enfant)<br>2) Segond traduit par blond (pour David)",ʾadmōnī,,A04632,133,131
133,אַדְמָתָא,H,,probablement dérivation du Perse,20253,,N_N-M-P,Admatha,"Admatha = ""un témoignage"", ""brun"", ""don de Dieu""<br>1) prince de Perse sous le règne d'Assuérus (Xerxès)",ʾadmātāʾ,,A05879,134,132
134,אֶ֫דֶן,H,113+אדון אדון,vient du même mot que H113 (sens de force),"2698,2649,2261,2283,2291,2648,2255,2285,3775,2593,2287,2726,2284,2646,2653,2705,2665,2290,3730,2597,2288,2289,19737,2603,2549,2645,19521,2273,2257,2591,2644,2268,2651,3729,3776,2661,2664,2543,2605",,N-M,bases,"1) base, piédestal, socle (fort, ferme)<br>  1a) piédestals, bases, ou socles sur lesquels tenait le tabernacle",ʾeden,,A00894,135,133
135,אַדָּן,H,134+אדן,vient du même mot que H134,20833,,N_N--L,Addan,"Addan = ""fort, ferme"", ""calamité ""<br>1) lieu de Babylone, d'où sont retournés les exilés",ʾaddān,,A05880,136,134
136,אֲדֹנָי,H,113+אדון אדון,forme emphatique de H113,"10379,20660,16170,15018,455,13369,10391,13827,14064,13618,13147,13240,10558,13768,16181,13486,13418,14413,10697,10319,13572,13613,13690,13448,10643,13451,13727,11500,13653,13427,19878,19965,13467,13357,8117,19944,456,6979,14470,14007,19904,13705,11186,14093,13602,14489,13107,13030,11217,13127,13521,14474,14033,13561,13790,16093,13483,10921,16556,8118,476,16201,13753,19886,14018,14516,17065,13190,10703,13401,12272,13720,13683,13815,17454,14473,5205,13568,14010,9632,13122,13529,19254,10581,13811,13024,16242,12905,14792,10947,11278,13111,13083,10574,13241,13113,13461,16253,16176,14411,5185,13621,2162,13304,13476,13797,13626,11188,13734,13725,10287,19905,10313,13078,13967,16646,19877,17559,13706,10683,13301,13061,16364,10749,11468,13065,12992,8749,16666,13154,16561,13677,14444,13319,16148,10306,13296,21120,13167,13659,5950,1655,5985,19887,10297,13477,13758,15733,13187,13183,13209,13206,452,13961,13236,13771,13548,12858,10354,13717,13260,13662,13397,12648,13805,5986,13839,13579,5001,13453,13160,13262,13424,13818,10754,13565,13114,13460,6678,13686,13315,14508,13541,13104,13970,1615,8116,20674,8956,13823,10363,11371,13610,14417,14799,11183,13744,15658,14408,2506,10241,14497,5908,13457,17545,12875,21324,13642,13067,15987,15946,19892,10560,19903,10583,15653,16051,16025,12915,12571,14477,16568,14586,16461,13293,10568,8126,13641,14501,13726,14407,17417,16301,16179,13692,13973,16562,13099,17420,1612,14463,13469,16565,13804,13778,13830,15312,13762,13736,19938,14431,12944,13086,19890,13481,13124,15659,11428,15727,12891,15748,15974,17416,13439,13391,10584,13695,13330,14495,15108,13808,12919,10412,12264,13543,12936,13313,13764,13723,11503,13116,2520,13214,16557,13138,20676,16442,11212,11167,12707,13404,13525,13953,13820,13243,15827,16191,13025,16309,13070,11361,500,11426,4126,12941,13952,13290,10242,13109,10294,13403,13835,9404,13079,13306,13564,10239,13780,13033,8744,14505,21054,13203,8120,10254,13088,11655,11175,13288,10390,13052,13234,13459,13143,15551,13976,13350,15457,19943,8714,13287,13607,11553,14001,13724,13743,13090,457,12967,20672,11822,13712,15740,11184,5906,16647,11147,20408,13588,13544,13465,13073,13558,20666,17050,14487,14420,13685,20664,14271,1938,8127,13458,15106,15008,13196,13709,13297,15690,13735,13034,13754,12552,13553,13284,16178,369,12916,12928,15159,13334,14471,13172,6894,13220,13667,13576,20661,13366,10003,13442,13415,13421,21249,10723,13038,12713,20673,13531,13132,16558,6671,16359,13332,13097,13801,15772,363,13432,10893,13669,14054,13728,10923,13341,14476,13624,14475,13988,10331,14377,16650,12913",,N-M,Seigneur,"1) mon seigneur, seigneur<br>  1a) d'un homme<br>  1b) de Dieu<br>2) titre donné au lieu de Yahvé par les Juifs, en signe de révérence",ʾădōnāy,,A00112,137,135
