strongNumber,etymDesc,heading,entrycontent
527,variante de H1995,Amon,1) multitude
528,d'origine égyptienne,non traduit,"Amon = ""nourrir: être fidèle"", ""ouvrier""<br>1) dieu égyptien, à l'origine dieu local de Thèbes, plus tard à la tête du panthéon égyptien"
529,vient de H539,fidèle,"1) fidélité, confiance"
530,vient de H529,fidélité,"1) fermement, fidélité, constance, le devoir accompli"
531,vient de H553,Amots,"Amots = ""fort, puissant, courageux""<br>1) père d'Esaïe"
532,une abréviation de H526,Ami,"Ami = ""serviteur lié "", ""augmenté ""<br>1) un descendant de Amon, serviteur de Salomon"
533,vient de H553,puissant,"1) fort, puissant"
534,vient apparemment De H559 (sens d'élévation),cime,"1) sommet, cime<br>  1a) d'un arbre<br>  1b) d'une montagne"
535,une racine primaire,flétrir,"1) être faible, pencher, languir, ..."
536,vient de H535,sans force,"1) faible, sans force"
537,vient de H535,impuissant,1) faible
538,vient de H517,Amam,"Amam = ""leur mère"", ""rassemblement, jonction""<br>1) village du sud de Juda"
539,une racine primaire,croire,"1) supporter, confirmer, être fidèle<br>  1a) soutenir, nourrir<br>     1a1) père nourricier<br>     1a2) nourrice<br>     1a3) piliers, supports de porte"
540,(araméen) correspondant à H539,certaine,"1) confirmer, soutenir<br>  1a) croire en, se confier à"
541,vient de H3225,vous iriez à droite,"1) prendre la main droite, tourner à droite, choisir la droite ..."
542,vient De H539 (sens d'exercé),artiste,"1) contremaître, artiste, artisan"
543,vient de H539,amen,"amen = ""assuré, établi"" - interjection : ainsi soit-il !"
544,vient de H539,fidèlement,1) fidélité
545,vient De H544 (sens spécifique d'entraîner),être sous la tutelle,"1) apporter, nourriture, élever, entraîner, fournir (comme parent)"
546,forme De H544 (dans son sens usuel),il est vrai,"1) véritablement, en vérité"
547,vient De H544 (sens de supporter),linteaux,"1) linteaux, pilier, supports d'une porte<br>2) confirmer, soutenir, supporter"
548,vient de H543,alliance,"1) foi, support, sûr, certain<br>  1a) d'un pacte, d'une alliance<br>  1b) d'un support financier"
549,comme H548,Abana,"Abana, Amana = signification plausible :""rocailleux""<br>1) Une des deux rivières de Damas, probablement la principale. Sans doute la rivière Barada, le Crysorrhoas des auteurs classiques."
550,vient de H539,Amnon,"Amnon = ""fidèle""<br>1) fils aîné de David, demi-frère de Tamar, tué par Absalom<br>2) un fils de Simon (du clan de Caleb)"
551,vient de H544,vrai,"1) véritablement, vraiment, sûrement"
552,variante orthographique de H551,véritablement,"1) véritablement, vraiment, en effet"
553,une racine primaire,fort,"1) être fort, alerte, courageux, brave, gros, solide, dur<br>  1a) assurer, rendre ferme<br>  1c) être déterminé, prouver sa supériorité<br>  1d) monter sa force, être fort"
554,vient probablement de H553,rouges,"1) fort<br>2) baie (couleur), pommelé, couleur d'une pie"
555,vient de H553,se fortifie,1) force
556,vient de H553,force,1) force
557,vient de H553,Amtsi,"Amtsi = ""ma force, robuste""<br>1) un Lévite<br>2) l'ancêtre d'un exilé de retour, de la lignée des sacrificateurs"
558,vient De H553 et H3050,Amatsia,"Amatsia = ""l'Eternel est fort""<br>1) un roi de Juda, fils de Joas, père d'Azaria<br>2) un sacrificateur de Béthel sous Jéroboam II<br>3) père de Joscha, de la tribu de Siméon<br>4) un Lévite, chanteur au tabernacle à l'époque de David"
559,une racine primaire,dit,"1) dire, parler, prononcer<br>  1a) répondre, penser, commander, promettre, avoir l'intention de<br>  1b) être entendu, être appelé<br>  1c) se glorifier, agir fièrement<br>  1d) avouer"
560,(araméen) correspondant à H559,dire,"1) dire, parler, commander, relater"
561,vient de H559,parole,"1) émission, discours, parole, dire, promesse"
562,même mot que H561,parole,"1) émission, discours, parole"
563,(araméen) vient peut-être de H560,agneaux,1) agneau
564,vient de H559,Immer,"Immer = ""il a dit"", ""mouton"" ?<br>1) un sacrificateur du temps de David<br>2) un sacrificateur du temps de Jérémie<br>3) le père de Tsadok le sacrificateur<br>4) un ancêtre d'un sacrificateur"
565,vient de H561,parole,"1) discours, parole<br>  1a) parole de Dieu, la Torah"
566,vient de H564,Imri,"Imri = "" éloquent""<br>1) un homme de Juda<br>2) un ancêtre d'un des aides de Néhémie"
567,probablement patronyme d'un nom dérivé De H559 sens de publicité,Amoréen,"Amoréen = ""diseur"", ""montagnard""<br>1) un des peuples de l'est de Canaan et au delà du Jourdain, que les Israélites ont dépossédés au retour d'égypte"
568,vient De H559 et H3050,Amaria,"Amaria = ""l'Eternel a dit, ou a promis""<br>1) grand-père de Tsadok<br>2) haut sacrificateur du temps de Salomon<br>3) souverain sacrificateur sous Josaphat<br>4) fils d'Ezéchias, ancêtre de Sophonie<br>5) un Lévite au temps d'Esdras<br>6) un Lévite sous Ezéchias<br>7) un sacrificateur au temps de Néhémie"
569,d'origine incertaine,Amraphel,"Amraphel = ""annonceur de ténèbres"", ""qui parle d'une manière sombre""<br>1) le roi de Schinear (Babylone) (peut-être Hammurabi 2100 Av. JC)"
570,d'origine inconnue,hier,"1) hier, la nuit dernière<br>2) récemment (figuré)"
571,vient de H539,fidélité,"1) fermeté, fidélité, vérité<br>  1a) sûreté<br>  1b) stabilité<br>  1c) fidélité, digne de confiance<br>  1d) vérité<br>     1d1) en paroles<br>     1d2) en témoignage et jugement<br>     1d3) en instruction divine<br>     1d4) vraie doctrine <br>adv 2) en vérité, vraiment"
572,vient de H4969,sac,"1) sac, récipient souple (pour grain)<br>2) (TWOT) étendre"
573,vient de H571,Amitthaï,"Amitthaï = ""véridique""<br>1) père du prophète Jonas"
574,(araméen) vient d'une racine correspondant à H4975,épouvantable,1) terrible
575,vient de H370,où,"1) où ? (lieu)<br>2) quand ?, jusqu'à quand ? (temps)"
576,(araméen) correspondant à H589,je,"1) Je, Moi ... (1ère personne du singulier - généralement avec emphase)"
577,vient apparemment De H160 et H4994,oh,1) Oh! je vous supplie ...
578,une racine primaire,gémiront,"1) pleurer, gémir"
579,une racine primaire [peut-être identique à H578],tomber,"1) rencontrer, s'approcher de, arriver (un malheur)"
580,contraction de H587,nous,1) Nous (première personne du pluriel - généralement avec emphase)
581,(araméen) correspondant à H1992,sont,1) ces
582,vient de H605,homme,"1) homme, homme mortel, personne, humain"
583,même mot que H582,énosch,"énosch = ""homme""<br>1) fils de Seth"
584,une racine primaire,gémir,"1) soupirer, gémir (de peine ou de douleur), haleter<br>  1a) gémissement (du bétail)"
585,vient de H585,soupirs,"1) soupir, gémissement (expression de chagrin ou détresse physique)"
586,(araméen) correspondant à H587,Nous,1) nous (première personne du pluriel)
587,vient apparemment de H595,nous,1) nous (première personne du pluriel - généralement avec emphase)
588,probablement même racine que H5170,Anacharath,"Anacharath = ""le gémissement de crainte""<br>1) (BDB) ville en Nephthali<br>2) (CLBL) ville en Issacar"
589,vient de H595,moi,1) Je (première personne du singulier - généralement avec emphase)
590,vient probablement De H579 (de transport),navires,"1) flotte, navires"
591,vient de H590,navires,"1) navires<br>  1a) hommes des navires, marins"
592,vient de H578,gémissements,"1) deuil, lamentations, gémissements"
593,vient De H578 et H5971,Aniam,"Aniam = ""soupir du peuple""<br>1) un homme de Manassé"
594,vient probablement d'une racine du sens d'être étroit,niveau,"1) fil à plomb, niveau"
595,pronom primaire,je,1) Je (première personne du singulier)
596,une racine primaire,murmurer,"1) se plaindre, murmurer"
597,dérivation inconnue,forcer,"1) forcer, contraindre"
598,(araméen) correspondant à H597,difficile,"1) forcer, contraignant"
599,une racine primaire,s'irriter,"1) être fâché, être en colère,<br>  1a) lorsque Dieu est en colère"
600,(araméen) correspondant à H639,face,"1) face, nez, visage"
601,vient de H599,héron,1) un oiseau impur<br>  1a) peut-être le héron
602,une racine primaire,gémir,"1) crier, gémir, se lamenter"
603,vient de H602,gémissements,"1) gémissements, lamentations"
604,même mot que H603,hérisson,"1) un animal impur, furet, musaraigne...<br>  1a) peut-être un animal disparu, sens exact inconnu"
605,une racine primaire,douloureuse,"1) être faible, malade, frêle<br>  1a) incurable, état désespéré"
606,(araméen) correspondant à H582,homme,"1) homme, être humain<br>2) genre humain (collectif)"
607,(araméen) correspondant à H859,toi,"1) toi, tu (deuxième personne du singulier)"
608,(araméen) pluriel de H607,vous,1) vous (deuxième personne du pluriel)
609,dérivation incertaine,Asa,"Asa = ""guérisseur, médecin""<br>1) roi de Juda, fils d'Abijam, père de Josaphat<br>2) un Lévite"
610,vient de H5480,vase,"1) gourde, petite cruche à huile"
611,dérivation incertaine,malheur,"1) mal, malheur, nuisance, faire mal"
612,vient de H631,liens,"1) bande, lien<br>2) maison de liens: prison (figuré)"
613,(araméen) correspondant à H612,chaînes,"1) liens, emprisonnement"
614,vient de H622,récolte,"1) récolte, moisson"
615,vient de H631,captif,"1) prisonnier, captif"
616,pour H615,captif,"1) prisonniers (collectif)<br>2) prisonnier, captif"
617,même mot que H616,Assir,"Assir = ""prisonnier, déporté ""<br>1) fils de Koré<br>2) fils d'Ebiasaph<br>3) fils de Jéconias"
618,"vient d'une racine du sens de rassembler, stocker",greniers,"1) magasin, grange, grenier"
619,dérivation incertaine,Asna,"Asna = ""je serai haï "", ""ronce"" ?<br>1) un esclave du temple qui revint de l'exil à Babylone"
620,d'origine étrangère,Osnappar,"Osnappar = "" épine disparue""<br>1) roi d'Assyrie qui transporta d'autres peuples en Samarieprobablement le roi Assurbanipal"
621,dérivation de l'égyptien,Asnath,"Asnath = ""appartenant à la déesse Neith""<br>1) épouse de Joseph, mère de Manassé et éphraïm"
622,une racine primaire,rassembler,"1) recueillir, recevoir, enlever, rassembler<br>  1a) collecter, réunir et enlever, retirer<br>  1b) être rassemblé avec ses frères être emporté, périr<br>  1c) recueillir (moisson)"
623,vient de H622,Asaph,"Asaph = ""celui qui rassemble, collecteur""<br>1) le père du secrétaire d'Ezéchias<br>2) un fils de Bérékia, Lévite chef musicien sous David<br>3) intendant Perse sur la forêt royale"
624,participe de H622,Magasins,"Asuppim : collection, magasin<br>1) ce qui est rassemblé, magasin, ...<br>2) (CLBL) seuil"
625,vient de H622,récolte,"1) rassemblement, collecte, moisson"
626,vient de H622,captifs,1) un rassemblement
627,vient de H624,recueil,"1) collecte, rassemblement"
628,vient De H624 par duplication,ramassis de gens,"1) collection, multitude, foule hétéroclite"
629,(araméen) dérivation du Perse,ponctuellement,"1) complètement<br>2) (CLBL) ardemment, diligemment"
630,d'origine Perse,Aspatha,"Aspatha = ""les séduits rassemblés""<br>1) le troisième fils d'Haman"
631,une racine primaire,lier,"1) lier, attacher, emprisonner<br>  1a) lier (avec des cordes)<br>     1a4) ceindre<br>     1a5) commencer la bataille<br>     1a6) obligation de serment (figuré)<br>  1b) être emprisonné, lié, enchaîné"
632,vient de H631,engagement,"1) lien, obligation"
633,(araméen) correspondant à H632 sens de légal,défense,"1) interdire, décret, décret de restriction"
634,dérivation étrangère,ésar-Haddon,"ésar-Haddon = ""Assur a donné un frère""<br>1) roi d'Assyrie au septième siècle AV. JC"
635,dérivation du Perse,Esther,"Esther = "" étoile""<br>1) la reine de Perse, héroïne du livre d'Esther - fille d'Abichaïl, cousine et fille adoptive de Mardochée, de la tribu de Benjamin, faite reine par le roi Assuérus pour remplacer la reine Vasthi."
636,(araméen) correspondant à H6086,bois,"1) bois, poutre, bois de construction"
637,racine primaire,aussi,"(addition, de quelque-chose de plus grand)<br>1) aussi, quoique, tant, ...<br>adv 2) en outre, en effet"
638,(araméen) correspondant à H637,aussi,"1) aussi, oui"
639,vient de H599,colère,"1) narines, nez, face, visage<br>2) colère"
640,une racine primaire [vient de H646],mettre,"1) lier, ceindre, ceindre l'éphod"
641,même mot que H646 raccourci,éphod,"éphod = ""une ceinture (spéciale)""<br>1) le père d'un chef de Manassé"
642,vient de H646,éphod,"1) éphod<br>  1a) vêtement du sacrificateur, cape ou manteau<br>     1a1) porté par un sacrificateur : fait de tissu blanc<br>     1a2) souverain sacrificateur : plus coûteux, avec de l'or, bleu, violet, écarlate, avec un pectoral orné de pierres précieuses<br>  1b) revêtement pour idoles"
643,apparemment dérivation étrangère,palais,1) palais
644,une racine primaire,panetier,1) faire cuire au four<br>  1a) (subst) boulanger
645,vient de H6311,maintenant,"1) alors, maintenant, ainsi"
646,probablement dérivation étrangère,éphod,"éphod = ""couverture""<br>1) éphod<br>  1a) vêtement des sacrificateurs (cape ou manteau) voir définition <a href=""strong-hebreu-642.html"" title=""Strong hébreu 0642"">0642</a>"
647,vient peut-être de H6315,Aphiach,"Aphiach = ""respirer, rafraîchi, vivifié ""<br>1) un ancêtre de Saïl"
648,vient du même mot que H651 (sens de faiblesse),tardifs,"1) en retard, mûr"
649,doublage de H639,Appaïm,"Appaïm = ""narines""<br>1) un fils de Nadab"
650,vient de H622,ruisseau,1) canal<br>2) ravin<br>3) des os creux (figuré)
651,vient d'une racine du sens de manque de soleil,obscur,"1) sombre, obscur"
652,vient du même mot que H651,obscurité,"1) obscurité, ténèbres<br>2) non réceptivité spirituelle, calamité (figuré)"
653,vient de H651,ténèbres,"1) obscurité, calamité<br>2) méchanceté (figuré)"
654,vient de H6419,Ephlal,"Ephlal = ""intercesseur""<br>1) un descendant de Pérets"
655,vient d'une racine du sens de tourner,à propos,"1) circonstance, condition, opportunité"
656,une racine primaire,manque,"1) cesser, rompre, aller vers une fin"
657,vient de H656,extrémités,"1) cessation, fin, finalité"
658,vient De H657 et du pluriel de H1818,éphès-Dammim,"éphès-Dammim = ""frontière de sang""<br>1) lieu à environ 25 km au sud-ouest de Jérusalem"
659,vient d'une racine du sens probable de respirer,le néant,"1) sans valeur, nul"
660,vient De H659 (sens de siffler),vipère,"1) une vipère, serpent"
661,une racine primaire,environné,"1) entourer, environner"
662,une racine primaire,se contenir,"1) se contenir, être fort, se maîtriser"
663,vient De H662 (sens de force),Aphek,"Aphek ou Aphik = ""enclos"", ""force""<br>1) ville de Canaan proche de Jizreel<br>2) ville du territoire de Aser<br>3) ville au nord-est de Beyrouth"
664,féminin de H663,Aphéka,"Aphéka (Aphekah) = ""enclos, place forte""<br>1) ville proche d'Hébron en Juda<br>2) (BDB) peut-être un groupe de villes incluant Hébron"
665,vient d'une racine du sens de remuer,cendre,1) cendres<br>2) (CLBL) indignité (figuré)
666,vient du même mot que H665 (sens de couvrir),bandeau,"1) enveloppe, bandage"
667,vient De H6524 (sens d'éclater la coquille),petits,1) petits (des oiseaux)<br>2) oisillons
668,probablement dérivation de l'égyptien,litière,"1) litière, palanquin, chaise à porteur<br>2) (CLBL) char"
669,double de H672,éphraïm,"éphraim = ""doublement fécond""<br>1) second fils de Joseph, béni par lui et préféré à son premierfils, Manassé<br>2) la tribu, Ephraïm<br>3) la région montagneuse d'Ephraïm<br>4) quelquefois utilisé pour le royaume du nord (Osée ou Esaïe)<br>5) ville proche de Baal-Hatsor<br>6) porte importante de Jérusalem"
670,(araméen) origine incertaine,d'Apharas,Apharas <br>1) (CLBL) fonction inconnue<br>2) (BDB) secrétaires<br>3) (TWOT) peut-être titre d'un officiel
671,(araméen) origine étrangère,d'Apharsac,Apharsac - Arpharsathac<br>1) (CLBL) une fonction inconnue<br>2) (BDB) peut-être un officiel<br>3) (TWOT)<br>  3a) un peuple<br>  3b) peut-être titre d'un officiel
672,vient de H6509,éphrata,"éphrata (éphrath) = ""lieu de la fécondité ""<br>1) lieu près de Béthel où Rachel mourut et fut ensevelie<br>2) un autre nom de Bethléhem<br>n pr f 3) épouse de Caleb"
673,patronyme de H672,éphratien,"éphratien, éphraïmite = ""fertilité ""<br>1) habitant ou descendant d'Ephraïm<br>2) habitant de Bethléhem"
674,(araméen) origine : Perse,trésor,1) un trésor<br>2) (CLBL) un revenu
675,dérivation incertaine,Etsbon,"Etsbon = ""je serai élargi""<br>1) un fils de Gad<br>2) petit-fils de Benjamin"
676,vient du même mot que H6648 (sens de saisir),doigt,"1) doigt, orteil"
677,(araméen) correspondant à H676,orteil,"1) doigt, orteil"
678,vient De H680 (sens de séparation),élite,"1) côté, coin, chef<br>2) (CLBL) nobles (figuré)"
679,vient De H680 (sens d'unir),aisselles,"1) joindre, joint (comme le coude etc)"
680,une racine primaire,prendre,"1) poser de côté, réserver, refuser"
681,vient De H680 (sens de joindre),près,"1) à côté de, près de, proche, joignant, proximité<br>subst 2) (BDB)<br>  2a) conjonction, proximité<br>  2b) à côté de, à proximité, contigu à"
682,vient de H680,Atsel,"Atsel (Atzel) = ""proximité "", noble"" ?<br>1) lieu proche de Jérusalem, site actuellement inconnu<br>2) descendant de Saïl et Jonathan"
683,vient De H680 et H3050 prolongé,Atsalia,"Atsalia = ""l'éternel a épargné, mis à part""<br>1) père de Schaphan le scribe"
684,vient d'une racine du sens d'être fort,Otsem,"Otsem = ""je les activerai""<br>1) frère aîné de David<br>2) un descendant de Juda"
685,variante de H6807,chaînettes,"1) bracelet, chaîne de cheville"
686,une racine primaire,amasser,"1) emmagasiner, mettre de côté<br>  1a) trésorier, surveillant"
687,vient de H686,Etser,"Etser = ""trésor""<br>1) un chef des Horiens"
688,vient de H6916,escarboucles,"1) ardente lumière, étinceler<br>2) (CLBL) le nom d'une gemme (escarboucle)"
689,vient probablement de H602,bouquetin,1) chèvre sauvage
690,probablement pour H738,Ara,"Ara = ""lion""<br>1) un descendant d'Aser"
691,probablement pour H739,héros,"1) (CLBL) héros, homme vaillant<br>2) (BDB) forme et sens douteux<br>3) (TWOT) Ariel ou foyer, âtre"
692,vient de H691,Areéli,"Areéli = ""lion de Dieu""<br>1) un fils de Gad<br>2) ceux de la famille d'Areéli"
693,une racine primaire,embuscade,"1) faire le guet, embuscade"
694,vient de H693,Arab,"Arab = ""embuscade""<br>1) village près d'Hébron"
695,vient de H693,embuscade,"1) une embuscade<br>2) tanière, antre, repaire"
696,même mot que H695,pièges,"1) embuscade<br>2) tricherie, tromperie (figuré)"
697,vient de H7235,sauterelles,1) une certaine sorte de sauterelles (en essaim)<br>2)<br>(CLBL)<br>  2a) disparition soudaine (figuré)<br>  2b) insignifiance (figuré)<br>  2c) activité (figuré)
698,vient de H696,artifice,"1) artifice, tromperie, ruse"
699,vient De H693 (comme pour fermer),fenêtres,"1) treillis, fenêtre, écluse<br>2) (CLBL) cheminée (ouverture par laquelle s'échappe la fumée)"
700,pluriel de H699,Arubboth,"Arubboth = ""fenêtres"", ""treillis""<br>1) district mentionné par Salomon"
701,nom qui vient de H694,d'Arab,"D'Arab = Arbite = ""une embuscade""<br>1) originaire d'Arab, contrée montagneuse de Juda"
702,vient de H7251,quatre,1) quatre
703,(araméen) correspondant à H702,quatre,1) quatre
704,même mot que H702,Arba,"Arba = ""quatrième""<br>1) le père d'Anak et le plus grand des géants (Anakim)<br>2) voir <a href=""strong-hebreu-7153.html"" title=""Strong hébreu 07153"">07153</a>, que l'on peut traduire par ""ville d'Arba"""
705,multiple de H702,quarante,1) quarante
706,doublage de H702,quatre,"1) quadruple, quatre"
707,une racine primaire,tisser,"1) tisser<br>  1a) tisser (étoffe), tresser (cheveux de Samson), tisserand (Substantif)<br>     1a1) intrigue (figuré)"
708,vient de H707,cheville,"1) métier (à tisser), navette"
709,vient du même mot que H7263,Argob,"Argob = ""tas de pierres"", ""mottes de terre""<br>1) un district ou lieu en Basan<br>2) un des intendants du roi Pékach (nom propre masculin)"
710,variante pour H713,pourpre,1) pourpre
711,(araméen) correspondant à H710,pourpre,"1) pourpre, écarlate"
712,vient peut-être de H7264 (sens de suspendu),boîte,"1) boîte, commode, coffre"
713,d'origine étrangère,pourpre,"1) pourpre, rouge-pourpre, écarlate"
714,vient d'une racine voulant dire errer,Ard,"Ard = ""je subjuguerai""<br>1) fils de Benjamin<br>2) petit-fils de Benjamin"
715,vient du même mot que H714,Ardon,"Ardon = ""fugitif""<br>1) un fils de Caleb"
716,patronyme de H714,Ardites,"Ardites = ""je subjuguerai""<br>1) les descendants de Ard"
717,une racine primaire,dépouiller,"1) arracher, cueillir, dépouiller<br>  1a) grappiller"
718,(araméen) probablement de H431,et voici,"1) voici, voilà"
719,vient probablement de H7300,Arvad,"Arvad = ""errant""<br>1) ville dans une île près de Sidon"
720,variante orthographique de H719,Arod,"Arod = ""je subjuguerai, j'errerai""<br>1) un fils de Gad"
721,patronyme de H719,Arvadiens,"Arvadiens = ""je romprai les liens""<br>1) les descendants d'Arvad, un fils de Canaan"
722,patronyme de H721,Arodites,"Arodi ou Arodites = ""je subjuguerai: j'errerai""<br>1) descendants d'Arod"
723,vient De H717 (sens de nourrir),crèches,"1) mangeoire, stalle, crèche (pour animaux)"
724,vient De H748 (sens de restaurer),guérison,"1) guérison, restauration"
725,variante de H7316,Aruma,"Aruma = ""je serai élevé "", ""une éminence""<br>1) village proche de Sichem, résidence d'Abimélec"
726,une erreur pour H130,Syrien,"1) Araméen, Syrien, édomite"
727,vient De H717 (sens de recueillir),arche,"1) coffre, arche<br>  1a) coffre pour monnaie<br>  1b) Arche de l'alliance<br>2) (TWOT) cercueil"
728,variante orthographique de H771,Aravna,"Aravna = ""je crierai de joie""<br>1) le Jébusien qui vendit à David un lieu pour un autel"
729,une racine primaire,fait en bois de cèdre," 1) (CLBL) être ferme<br>2) rendu ferme<br>adj 3) (BDB/TWOT) ferme, fort"
730,vient de H729,cèdre,1) cèdre<br>  1a) l'arbre<br>  1b) bois de construction<br>  1c) bois pour les purifications
731,vient de H730,lambris de cèdre,"1) panneaux de cèdre, ouvrage en cèdre"
732,une racine primaire,voyageur,"1) errer, voyager, aller, être de compagnie"
733,vient de H732,Arach,"Arach = ""voyageur""<br>1) homme d'Aser<br>2) fondateur d'une famille"
734,vient de H732,sentier,"1) voie, chemin, sentier<br>  1a) route<br>  1b) le chemin de la vie (figuré)<br>  1c) manière de vivre (figuré)<br>  1d) voyageur"
735,(araméen) correspondant à H734,voies,"1) voie, sentier, chemin, cours de la vie"
736,vient de H732,caravane,"1) caravane, compagnie de voyage"
737,vient De H732 (sens d'équipement),entretien,"1) repas, allocation, ration<br>  1a) nourriture<br>  1b) régime"
738,vient De H717 (sens de violence),lion,1) lion<br>  1a) tableau ou image de lion
739,vient De H738 et H410,lions,1) sens incertain<br>  1a) (CLBL) possible: comme un lion<br>  1b) (BDB) possible: deux fils d'Ariel de Moab
740,même mot que H739,Ariel,"Ariel = ""lion de Dieu""<br>1) nom appliqué à Jérusalem<br>2) nom d'un chef au retour de l'exil"
741,"soit transposition De H739 soit, plus probable, variante pour H2025",autel,"1) foyer, autel"
742,d'origine Perse,Aridaï,"Aridaï = ""le lion est assez""<br>1) un fils d'Haman"
743,d'origine Perse,Aridatha,"Aridatha = ""le lion du décret""<br>1) un fils d'Haman"
744,(araméen) correspondant à H738,lion,1) lion
745,même mot que H738,Arié,"Arié = ""lion""<br>1) officier du roi Pekachia"
746,d'origine étrangère,Arjoc,"Arjoc = ""comme un lion"", ""serviteur du dieu lune""<br>1) l'ancien roi d'Ellasar, allié de Kedorlaomer<br>2) chef des exécuteurs, sous Nebucadnetsar"
747,origine: Persan,Arizaï,Arizaï = « le lion de mes bannières »<br>1) un fils d'Haman
748,une racine primaire,prolonger,"1) être long, prolongé<br>  1a) prolonger (des jours)<br>     1b2) allonger (cordes de tentes)<br>     1b3) croître longuement"
749,"(araméen) correspondant à H748, mais utilisé seulement dans le sens d'atteindreun point donné",convenable," (CLBL) v 1) arriver à, faire face à <br>(BDB/TWOT) adj v 2) convenable, propre"
750,vient de H748,lent,"1) longues (ailes)<br>2) patient, lent à la colère"
751,vient de H748,érec,"érec = ""long""<br>1) ville à 65 km au nord-ouest d'Ur sur la rive gauche du fleuve Euphrate"
752,vient de H748,longue,1) longueur<br>  1a) de temps<br>  1b) de la sagesse de Dieu (figuré)
753,vient de H748,longueur,1) longueur<br>  1a) physique<br>  1b) de temps<br>2) patience
754,(araméen) vient de H749,prolonger,"1) prolongation, allongement, prolongement"
755,(araméen) vient d'une racine correspondant à H7392 (sens de plier le genou),genoux,1) genou
756,(araméen) patronyme de H751,d'érec,"1érec (d') = ""assez long""<br>1) natifs de la ville d'érec"
757,patronyme d'un autre lieu (en Palestine) ou le même que H751,Arkien,"Arkien = ""assez long""<br>1) se réfère à la ville où demeure Huschaï"
758,vient du même mot que H759,Syrie,"Aram ou Araméens = "" élevé ""<br>1) Aram ou Syrie: la nation<br>2) le peuple Syrien ou Araméen<br>3) Nom masculin : cinquième fils de Sem<br>4) un petit-fils de Nachor<br>5) un descendant d'Aser"
759,vient d'une racine du sens d'être élevé,palais,"1) citadelle, palais, forteresse"
760,vient De H758 et H6678,Syriens de Tsoba,1) probablement la terre au nord-est de Damas
761,patronyme de H758,Syrien,"Syrien ou Araméen = "" élevé ""<br>1) une chose ou une personne venant de Syrie ou d'Aram"
762,féminin de H761,araméen,"Araméen = idiome sémitique du Nord<br>1) la langue d'Aram, Araméen"
763,vient De H758 et H5104,Mésopotamie,"Mésopotamie (Aram-Naharaïm) = ""pays entre deux fleuves""<br>1) Mésopotamie, entre le Tigre et l'Euphrate"
764,vient de H759,Armoni,"Armoni = ""appartenant au palais""<br>1) un fils de Saïl"
765,vient de H7442,Aran,"Aran = ""joyeux"", ""chèvre sauvage""<br>1) descendant d'Esaï"
766,vient De H765 (sens de force),pins,"1) pin, sapin, cèdre"
767,même mot que H766,Oren,"Oren = ""cèdre""<br>1) un descendant de Juda"
768,dérivation incertaine,lièvre,"1) lièvre<br>  1a) probablement un animal disparu, car aucun lièvre connu ne rumine, le sens exact est inconnu, le mieux est de ne pas traduire et d'utiliser ""arnebeth"""
769,vient de H7442,Arnon,"Arnon = ""qui murmure, bruyant, se mouvant vite""<br>1) rivière du sud de la Palestine, frontière entre Moab et les Amoréens"
770,vient probablement de H769,Arnan,"Arnan = ""aigle"", ""leste, fort""<br>1) descendant de David"
771,vient probablement de H766,Ornan,"Ornan = ""la lumière fut perpétuée"", ""leurs sapins""<br>1) un Jébusien qui vendit à David une aire de battage pour un autel"
772,(araméen) correspondant à H776,terre,"1) terre, monde, sol"
773,(araméen) vient de H772,fond,"1) le fond, le bas"
774,vient de H7502,Arpad,"Arpad = ""je serai supporté ""<br>1) ville du nord de la Syrie citée comme exemple de conquête des Assyriens"
775,probablement origine étrangère,Arpacschad,1) troisième fils de Semvoir définition du NT 742
776,vient d'une racine du sens probable d'être ferme,terre,"1) terre, territoire, sol<br>  1a) terre entière: opposée à une partie, opposée aux cieux, leshabitants de la terre<br>  1b) territoire: contée, région, terrain, Israël<br>  1c) sol, surface de la terre"
777,vient de H776,Artsa,"Artsa = ""sol"", ""ferme""<br>1) intendant du roi Ela, roi d'Israël"
778,(araméen) transposition de H772,terre,1) la terre
779,une racine primaire,maudit,"1) malédiction<br>  1a) maudire<br>  1b) être maudit, frappé de malédiction"
780,d'origine étrangère,Ararat,"Ararat = ""le fléau est renversé ""<br>1) région montagneuse de l'Arménie de l'est, le lieu où l'arche de Noé vint se reposer"
781,une racine primaire,fiancée,"1) fiancer, engager<br>  1a) être fiancé"
782,vient De H781 (sens de désir de possession),demandaient,"1) désir, requête, demander"
783,d'origine Perse,Artaxerxès,"Artaxerxès = ""celui qui fait régner la loi sacrée""<br>1) fils et successeur de Xerxès, empereur de Perse, 465-424 Av.J.C"
784,mot primaire,feu,"1) feu<br>  1a) feu, flammes<br>  1b) feu surnaturel (accompagnant théophanie)<br>  1c) feu (pour cuire, rôtir, sécher)<br>  1d) feu sur l'autel<br>  1e) feu de Dieu (colère) (figuré)"
785,(araméen) correspondant à H784,feu,"1) feu, flamme"
786,identique (en origine et formation) à H784,il n'y a,1) il y a
787,(araméen) correspondant (par transposition et abréviation) à H803,fondements,"1) fondements, fondation"
788,vient probablement du même mot que H7640,Aschbel,"Aschbel = ""un homme en Dieu"", ""un homme de Baal"", ""feu de Bel""<br>1) second fils de Benjamin"
789,patronyme de H788,Aschbélites,Aschbélites : voir Aschbel<br>1) descendants d'Aschbel
